OBJECTID,NAME,CATEGORY,ZIP_CODE,COMMENTS,Location 1
90,ABBOTT MIDDLE SCHOOL,MIDDLE SCHOOL,94403,,"600 36th Ave.
SAN MATEO, CA 94403
(37.529646497838719, -122.308704646201120)"
91,CHARLES ARMSTRONG SCHOOL,K-8 SCHOOL,94002,,"1405 Solana Dr.
BELMONT, CA 94002
(37.511262211943730, -122.284276406540440)"
92,STANBRIDGE ACADEMY,K-12 SCHOOL,94401,Based on parcels tax use and the City of San Mateo,"515 E Poplar Ave.
SAN MATEO, CA 94401
(37.574897590211002, -122.330034690769920)"
93,CENTRAL MIDDLE SCHOOL,5-8 SCHOOL,94070,,"828 Chestnut St.
SAN CARLOS, CA 94070
(37.501943458562344, -122.261115826289610)"
94,OUR LADY OF MOUNT CARMEL SCHOOL,ELEMENTARY SCHOOL,94062,,"301 Grand St.
REDWOOD CITY, CA 94062
(37.481287788839936, -122.239495342016380)"
95,ALMA HEIGHTS CHRISTIAN ACADEMY,RELIGIOUS SCHOOL,94044,K-12,"1295 Seville Dr.
PACIFICA, CA 94044
(37.588396638658992, -122.493710829334350)"
96,SAINT CATHERINE OF SIENA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,Based on aerial photo,"1300 Bayswater Ave.
BURLINGAME, CA 94010
(37.575985842879589, -122.344351136063050)"
97,HEATHER ELEMENTARY SCHOOL,K-4 SCHOOL,94070,,"2757 Melendy Dr
SAN CARLOS, CA 94070
(37.492332642436146, -122.275785967954490)"
98,ORION ALTERNATIVE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94063,,"815 Allerton St.
REDWOOD CITY, CA 94063
(37.490225034394122, -122.233539557496750)"
99,OCEAN SHORE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,,"411 Oceana Blvd.
PACIFICA, CA 94044
(37.651144445642196, -122.490051553702600)"
100,CABRILLO ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,,"601 Crespi Dr.
PACIFICA, CA 94044
(37.598114239061786, -122.497862396114840)"
101,VALLEMAR ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,,"377 Reina del Mar Ave.
PACIFICA, CA 94044
(37.613725449333238, -122.484734960033460)"
102,PENINSULA HIGH SCHOOL (CONTINUATION),HIGH SCHOOL,94066,Revision based on aerial photo,"300 Piedmont Ave.
SAN BRUNO, CA 94066
(37.610601738294385, -122.428732254167940)"
103,EL CRYSTAL ELEMENTARY SCHOOL,K-6 SCHOOL,94066,,"201 Balboa Way
SAN BRUNO, CA 94066
(37.613822704323432, -122.412509238888830)"
104,JOHN MUIR ELEMENTARY SCHOOL,K-6 SCHOOL,94066,,"130 Cambridge Ln.
SAN BRUNO, CA 94066
(37.612993199254966, -122.435369400949100)"
105,ST DUNSTON PARISH SCHOOL,ELEMENTARY SCHOOL,94030,,"1150 Magnolia Ave.
MILLBRAE, CA 94030
(37.606312893090880, -122.400263655565670)"
106,CAADA MIDDLE COLLEGE HIGH SCHOOL,HIGH SCHOOL,94061,Redwood City school district. College website. Google Maps,"4200 Farm Hill Blvd.
REDWOOD CITY, CA 94061
(37.447434935572055, -122.260381431985280)"
107,INGRID B. LACY MIDDLE SCHOOL,MIDDLE SCHOOL,94044,Sharp Park school does not exist in this,"1427 Palmetto Ave.
or any location anymore, CA 94044
(37.637493631083764, -122.492220912350190)"
108,PACIFIC HEIGHTS MIDDLE SCHOOL,MIDDLE SCHOOL,94066,,"3791 Pacific Heights Blvd
SAN BRUNO, CA 94066
(37.632569883034051, -122.467094766155410)"
109,ROLLINGWOOD ELEMENTARY SCHOOL,K-6 SCHOOL,94066,,"2500 Cottonwood Dr.
SAN BRUNO, CA 94066
(37.629568296853932, -122.443912052314320)"
110,BURI BURI ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94080,,"120 El Campo Dr.
SOUTH SAN FRANCISCO, CA 94080
(37.656202012395738, -122.444796307167590)"
111,CRESTMOOR ELEMENTARY SCHOOL,K-6 SCHOOL,94066,,"2322 Crestmoor Dr.
SAN BRUNO, CA 94066
(37.623815458266151, -122.434079364505550)"
112,NORTH SHOREVIEW ELEMENTARY SCHOOL,K-8 SCHOOL,94401,Montessori School,"1301 Cypress Ave.
SAN MATEO, CA 94401
(37.574442894608815, -122.316460538667440)"
113,ST. TIMOTHY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94401,,"1515 Dolan Ave.
SAN MATEO, CA 94401
(37.575169942324344, -122.310699669699840)"
114,ST. MATTHEWS CATHOLIC  SCHOOL,ELEMENTARY SCHOOL,94402,,"910 S El Camino Real
SAN MATEO, CA 94402
(37.558806588358088, -122.321459260778330)"
115,PARK ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94402,,"161 Clark Drive
SAN MATEO, CA 94402
(37.569652635636437, -122.343007005768030)"
